species,country_of_origin,number_of_bags,bag_weight,processing_method,aroma,flavor,body,uniformity
Arabica,Colombia,50,70.0,Washed,7.75,7.92,7.75,10.0
Arabica,Mexico,25,1.0,Semi-Washed,7.75,8.0,7.5,10.0
Arabica,Brazil,4,60.0,Natural,8.0,7.92,8.0,10.0
Arabica,Brazil,10,60.0,Natural,8.0,8.0,7.5,10.0
Arabica,Taiwan,10,20.0,Natural,7.92,7.58,7.83,10.0
Arabica,Uganda,1,60.0,Natural,7.75,7.92,8.25,10.0
Arabica,United States (Hawaii),14,45.3592,Natural,7.67,7.75,7.83,10.0
Arabica,Thailand,50,50.0,Pulped-Natural,7.75,7.75,8.0,10.0
Arabica,Kenya,150,60.0,Washed,7.92,7.83,7.75,10.0
Arabica,Honduras,275,1.0,Washed,7.83,7.75,7.67,10.0
Arabica,El Salvador,150,69.0,Washed,7.83,7.83,7.83,10.0
Arabica,Indonesia,2,1.0,Washed,7.92,7.83,7.75,10.0
Arabica,Japan,20,1.0,Pulped-Natural,7.75,7.75,8.08,10.0
Arabica,Costa Rica,15,69.0,Washed,8.08,7.75,7.5,10.0
Arabica,Guatemala,120,34.0,Washed,7.75,7.83,7.92,10.0
Arabica,Costa Rica,50,0.453592,Washed,8.17,8.0,7.83,10.0
Arabica,Ethiopia,250,30.0,Washed,8.08,7.83,7.58,10.0
Arabica,Costa Rica,20,69.0,Other,7.67,7.58,7.67,10.0
Arabica,Costa Rica,275,1.0,Washed,8.0,7.58,7.75,10.0
Arabica,Costa Rica,1,2.0,Washed,8.08,7.83,7.92,10.0
Arabica,Taiwan,10,30.0,Washed,8.0,7.92,7.75,10.0
Arabica,Colombia,250,70.0,Washed,7.75,7.83,7.75,10.0
Arabica,Kenya,235,60.0,Washed,7.75,7.92,7.58,10.0
Arabica,Guatemala,250,1.0,Washed,8.0,7.83,7.67,10.0
Arabica,Guatemala,125,1.0,Washed,7.67,7.83,7.67,10.0
Arabica,Mexico,80,1.0,Washed,7.83,7.58,7.92,10.0
Arabica,Uganda,320,60.0,Washed,7.92,7.83,7.67,10.0
Arabica,Kenya,66,60.0,Washed,7.92,7.75,7.58,10.0
Arabica,Colombia,250,70.0,Washed,7.83,7.67,7.67,10.0
Arabica,Colombia,125,70.0,Washed,7.92,7.83,7.83,10.0
Arabica,Kenya,100,60.0,Washed,7.83,7.83,7.58,10.0
Arabica,Guatemala,250,69.0,Washed,7.75,7.83,7.75,10.0
Arabica,Guatemala,250,69.0,Washed,8.0,7.92,7.58,10.0
Arabica,Colombia,250,70.0,Washed,7.67,7.67,7.58,10.0
Arabica,Colombia,75,70.0,Washed,7.75,7.75,7.58,10.0
Arabica,Kenya,11,660.0,Washed,7.75,7.75,7.75,10.0
Arabica,Colombia,250,70.0,Washed,7.67,7.83,7.58,10.0
Arabica,Costa Rica,1,1.0,Semi-Washed,7.75,7.83,7.83,10.0
Arabica,Colombia,250,70.0,Washed,7.42,7.67,8.08,10.0
Arabica,Brazil,37,60.0,Semi-Washed,8.0,8.0,7.58,10.0
Arabica,Brazil,35,60.0,Semi-Washed,8.5,8.0,7.5,10.0
Arabica,Costa Rica,275,18975.0,Washed,7.92,7.67,7.67,10.0
Arabica,Uganda,200,12000.0,Washed,7.92,7.75,7.83,10.0
Arabica,China,3,60.0,Washed,7.75,7.92,7.75,10.0
Arabica,Costa Rica,250,0.453592,Washed,7.92,7.83,7.58,10.0
Arabica,Colombia,275,2.0,Washed,8.08,7.67,7.67,10.0
Arabica,China,1,2.0,Washed,7.67,8.0,7.75,10.0
Arabica,Guatemala,250,69.0,Washed,8.17,7.83,7.67,10.0
Arabica,Kenya,235,60.0,Washed,7.92,7.83,7.67,10.0
Arabica,Mexico,56,1.0,Washed,8.0,7.92,7.5,10.0
Arabica,Mexico,250,1.0,Washed,7.92,7.83,7.75,10.0
Arabica,Guatemala,250,69.0,Washed,7.67,8.0,7.5,10.0
Arabica,Costa Rica,275,69.0,Washed,7.58,7.83,7.67,10.0
Arabica,Indonesia,200,30.0,Other,7.67,7.67,7.83,10.0
Arabica,Colombia,304,35.0,Natural,7.92,7.83,7.92,10.0
Arabica,Colombia,275,70.0,Washed,7.92,7.75,7.67,10.0
Arabica,Taiwan,2,2.0,Washed,7.83,7.83,7.5,10.0
Arabica,United States (Hawaii),5,45.3592,Natural,7.92,7.92,7.5,10.0
Arabica,Mexico,69,1.0,Washed,7.75,7.92,7.83,10.0
Arabica,Kenya,150,60.0,Washed,7.33,7.58,7.75,10.0
Arabica,Colombia,275,70.0,Washed,7.58,7.75,7.67,10.0
Arabica,Honduras,275,69.0,Washed,7.58,7.92,7.92,10.0
Arabica,Colombia,250,70.0,Natural,7.75,7.67,8.08,10.0
Arabica,Colombia,275,70.0,Washed,7.75,7.58,7.58,10.0
Arabica,Mexico,100,80.0,Washed,8.0,7.75,7.5,10.0
Arabica,Taiwan,10,5.0,Washed,7.92,7.75,7.67,10.0
Arabica,Thailand,20,25.0,Natural,7.83,7.75,7.83,10.0
Arabica,Colombia,275,70.0,Natural,7.83,7.58,7.67,10.0
Arabica,Guatemala,230,69.0,Washed,7.75,7.75,7.75,10.0
Arabica,Guatemala,275,69.0,Washed,7.75,7.92,7.58,10.0
Arabica,China,3,60.0,Natural,7.83,7.83,7.75,10.0
Arabica,Colombia,275,70.0,Washed,7.67,7.67,7.67,10.0
Arabica,Colombia,248,70.0,Washed,7.83,7.67,7.92,10.0
Arabica,Colombia,275,2.0,Washed,7.83,7.75,7.67,10.0
Arabica,Colombia,250,70.0,Natural,7.42,7.67,7.92,10.0
Arabica,"Tanzania, United Republic Of",10,60.0,Washed,7.83,7.67,7.67,10.0
Arabica,"Tanzania, United Republic Of",65,60.0,Washed,7.83,7.75,7.67,10.0
